"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
510,Isola la Graciosa,Lanzarote,Isole Canarie,,Oceano Atlantico,Spain,Europe,Marina,2011,No,,,
511,Atollo di Suvadiva,,Maldive,,Oceano Indiano,Repubblica delle Maldive,Asia,Marina,2012,No,,,
512, S.Benedetto del Tronto,Ascoli Piceno,,Marche,Mar Adriatico,Italy,Europe,Marina,2012,Si,,,
513,Gran Tarasal,Fuerteventura,Isole Canarie,,Oceano Atlantico,Spain,Africa,Marina ,2011,No,,,
514,Larchant (vicino fontanbleu),Parigi,,,Fiume Senna,France,Europe,Fluviale,2012,No,,,
515,Cozumel,,,Quintana Roo,Mar dei Caraibi,Mexico,Central America,Marina,2012,No,,,
516,Tsarabanjina,,Isola a Nord,,Oceano Indiano,Madagascar,Africa,Marina,2012,No,,,
517,Isola Mauritius  (2),,Mauritius,,Oceano Indiano,Repubblica di Mauritius,Africa,Marina,2012,No,,,
518,Mastichari,,Isola di Kos,,Mar Mediterraneo,Grecia,Europe,Marina,2012,No,,,
519,Cap Frehel,Plevenon,,Bretagna,Mar Baltico,France,Europe,Marina,2012,No,,,
520,Douarnenez,Finistère,,Bretagna,Mar Baltico,France,Europe,Marina,2012,Si,,,
521,Crozon,Finistère,,Bretagna,Oceano Atlantico,France,Europe,Marina,2012,Si,,,
522,Sainte Marie du Mont,Manica,,Bassa Normandia,Oceano Atlantico,France,Europe,Marina,2012,Si,,,
523,Saint Luren sur mer,Calvados,,Bassa Normandia,Oceano Atlatico,France,Europe,Marina,2012,Si,,,
524,Arromanches les Bains,Calvados,,Bassa Normandia,Mar Baltico,France,Europe,Marina,2012,Si,,,
525,Pointe de Penhir,Finistère,,Bretagna,Oceano Atlantico,France,Europe,Marina,2012,Si,,,
526,Isola delle femmine,Palermo,,Sicilia,Mar Tirreno,Italy,Europe,Marina,2012,No,,,
527,Sciato,,Isola di Skiathos,Sporadi,Mar Egeo,Grecia,Europe,Marina,2012,No,,,
528,KouKouNaries,,Isola di Skiathos,Sporadi,Mar Egeo,Grecia,Europe,Marina,2012,No,,,
529,Kastani,,Isola di Skopelos,Sporadi,Mar Egeo,Grecia,Europe,Marina,2012,No,,,
530,San Lorenzo vieste,Foggia,,Puglia,Mar Adriatico,Italy,Europe,Marina,2012,No,,,
531,Porto San Giorgio,Macerata,,Marche,Mar Adriatico,Italy,Europe,Marina,2012,No,,,
532,Tavolara,Olbia - Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2012,No,,,
533,Warwick,,Bermuda,,Oceano Atlantico,Gran Bretagna,USA,Marina,2012,No,,,
534,Vagator,,,Goa,Oceano Indiano,India,Asia,Marina,2012,No,,,
535,Arambol,,,Goa,Oceano Indiano,India,Asia,Marina,2012,No,,,
536,Falerna,Catanzaro,,Calabria,Mar Tirreno,Italy,Europe,Marina,2013,No,,,
537,Achill  Isle,,,Connacht,Oceano Atlantico,Irlanda,Europe,Marina,2013,No,,,
538,Easky,Sligo,,Connacht,Oceano Atlantico,Irlanda,Europe,Marina,2013,No,,,
539,Sligo Spiaggia,,,Connacht,Oceano Atlantico,Irlanda,Europe,Marina,2013,No,,,
540,Sligo dune,,,Connacht,Oceano Atlantico,Irlanda,Europe,Marina,2013,No,,,
541,Tab,Sligo,,Connacht,Oceano Atlantico,Irlanda,Europe,Marina,2013,No,,,
542,Balai spiaggia,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2013,No,,,
543,Ibiza 2,,Baleari,,Mare Mediterraneo,Spain,Europe,Marina,2013,No,,,
544,Sale rosa cristallino dell'Himalaya,miniera ,,Punjab,,Pakistan,Asia,,2012,No,,,
546,Agua de Alto,Isola San Miguel,Azzorre,,Oceano Atlantico,Portogallo,Europe,Marina,2013,No,,,
547,Sao Roque (lava),Isola San Miguel,Azzorre,,Oceano Atlantico,Portogallo,Europe,Marina,2013,No,,,
548,Playa Pilar,,,,Oceano Atlantico,Cuba,Central America,Marina,2018,Si tanta,,,
549,Porto Seguro ,,,Bahia,Oceano Atlantico ,Brasile,America Sud,,2018,No,,,
550,Cahuita Limon,,,Costa Rica,Mar dei Caraibi,,Central America,Marina,2018,Si poca,,,
551,Playa Dantita,,Isole Caraibi,,Oceano Atlantico ,,Central America,Marina,2018,Si,,,
552,Crosskirk,,,Scozia,Mar del Nord,Regno Unito,Europe,Marina,2018,No,,,
553,Maldive ,,Isole Maldive,,Oceano Indiano,India,Asia,Marina,2004,No,,,
554,La Cicciola Santa Teresa di Gallura,Sassari,,Sardegna, Mare Mediterraneo,Italy,Europe,Marina,2014,No,,,
555,Fihalholi,,Maldive,,Oceano Indiano,Repubblica delle Maldive,Asia,Marina,2018,No,,,
556,Golfo di Procchio,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si tanta,,,
557,Cavo Rio nell'Elba,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
558,Marciana Marina(sotto),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
559,Marciana Marina(sopra),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
560,Terra Nera,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
561,Parco Costiero di Rutigliano,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
562,Porto Azzurro,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
563,Madonna delle Grazie (Capolivieri),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
564,Barbarossa ,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
565,Capo D'Enfola Sud Portoferraio,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
566,Cala Seregola(verso mare),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
567,Le Ghiaie Capo Bianco(porto ferraio),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
568,Cala Seregola(verso terra),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
569,Spiaggia Reale (1),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
570,Spiaggia Reale (2),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
571,Rio Marina,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
572,Sansone(portoferraio),Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
573,Morcone Capoliveri,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
574,Innamorata Capoliveri,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
575,Baia di Frugoso,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
576,Lancona Capoliveri,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si,,,
577,Capo D'Enfola Nord Portoferraio,Livorno,Isola D'Elba,Toscana,Mar Tirreno,Italy,Europe,Marina,2018,Si poca,,,
578,Pellestrina,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina-Fluviale,2018,Si poca,,,
579,Jesolo,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,1999,No,,,
580,"Cala Domestica, Buggerru",Carbonia-Iglesias,,Sardegna,Mare Mediterraneo,Italy,Europe,Marina,,No,,,
581,Porticciolo di Buzzerru,Carbonia-Iglesias,,Sardegna,Mare Mediterraneo,Italy,Europe,Marina,,No,,,
582,"Punta Bacucco, Chioggia",Venezia,,Veneto,Mare Adriatico,Italy,Europe,Marina,2018,No,,,
583,Is Arenas,Cagliari,,Sardegna,"Stagno di Cagliari, Mare Mediterraneo",Italy,Europe,Marina,,No,,,
584,Torre Mozza,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2013,No,,,
585,Cala delle Arene,Foggia,"San Domino, isole Tremiti",Puglia,Mare Adriatico,Italy,Europe,Marina,2015,No,,,
586,Pointe d'Agon,,,Normandia,La Manica,France,Europe,Marina,1998,No,,,
587,Ile de Brèhat,,Arcipelago Ile  de Brehat,Bretagna,La Manica,France,Europe,Marina,1998,No,,,
588,Merville-Franceville,,,Normandia,La Manica,France,Europe,Marina,1998,No,,,
589,Dune di Wissant,,,,Mare del Nord,France,Europe,Marina,2000,No,,,
590,Isola di Chausey,,Chausey,Normandia,La Manica,France,Europe,Marina,2000,No,,,
591,Isola di Fourni,,Fourni,,Mare Egeo,Grecia,Europe,Marina,2015,No,,,
592,Perissa,,Cicladi,,Mare Egeo,Grecia,Europe,Marina,2001,No,Ha tanta magnetite,,
593,Potokaki,,Samos,,Mare Egeo,Grecia,Europe,Marina,2013,No,,,
594,"Tarabya, Bosforo",,,,Stretto del Bosforo,Turchia,Europe,Marina,1992,No,,,
595,Puerto Lopez Mateos,,,Bassa California del Sud,Oceano Pacifico,Messico,America Nord,Marina,1998,No,,,
596,"Xpu Ha, Puerto Aventuras",,,Quintana Roo,Mar dei Caraibi,Messico,America Centrale,Marina,1998,No,,,
597,"Xcaret, Yucatan",,,,Mar dei Caraibi,Messico,America Centrale,Marina,2002,No,,,
598,"Garden Bay, isola di Tortola",,Isole Vergini Britanniche,,Mar delle Antille,Regno Unito,America Centrale,Marina,2001,No,,,
599,Holoholokai beach,,Big Island Hawaii,,Oceano Pacifico,,USA,Marina,2013,No," Molto bella, ricca di bioclasti (aculei di ricci di mare, conchiglie…)",,
600,Cattoro,Umago,,,Mare Mediterraneo,Croazia,Europe,Marina,2000,No,,,
601,Bilbao,,,,Oceano Atlantico,Spain,Europe,Marina,1998,No,,,
602,"Cala Pola, Tossa de Mar, Costa Brava",Girona,,,Mar Mediterraneo,Spain,Europe,Marina,2004,No,,,
603,"Pineda de Mar, Catalogna",,,,Mare Mediterraneo,Spain,Europe,Marina,2000,No,,,
604,Santander,,,,Oceano Atlantico,Spain,Europe,Marina,1999,No,,,
605,Catoira,Galizia,,,Fiume Ulla,Spain,Europe,Fluviale,2002,No,,,
606,Sanxenxo,Galizia,,,Oceano Atlantico,Spain,Europe,Marina,2002,No,,,
607,"Lloret de Mar, Costa Brava",,,Barcellona,Mar Mediterraneo,Spagna,Europe,Marina,1999,Sì,,,
608,"Ksar Ghilane, Grande Erg Orientale",,,,,Tunisia,Africa,Desertica,1992,No,Colore rosso,,
609,"El Kantaoui, Sousse",,,,Mar Mediterraneo,Tunisia,Africa,Marina,2002,No,,,
610,Grande Côte  ,,,,Oceano Atlantico,Senegal,Africa,Marina,2004,No,,,
611,Cap Skirring,,,,Oceano Atlantico,Senegal,Africa,Marina,2004,No,,,
612,"Saly, Petite Côte ",,,,Oceano Atlantico,Senegal,Africa,Marina,2004,,,,
613,Sossusveli dune,,,,,Namibia,Africa,Desertica,1998,No,,,
614,Playa Cazonal,Santiago,,,Mar dei Caraibi,Cuba,America Centrale,Marina,2000,No,,,
615,Baconao,,,,Mar dei Caraibi,Cuba,America Centrale,Marina,2000,No,,,
616,Playa de ses Illetes 2,Formentera,Baleari,,Mar Mediterraneo,Spain,Europe,Marina,1998,No,,,
617,Valle dei Re,Luxor,,,,Egitto,Africa,Desertica,1999,No,,,
618,Marsa Alan,,,,Mar Rosso,Egitto,Africa,Marina,2002,No,,,
619,Dongwe,,Arcipelago di Zanzibar,,Oceano Indiano,Tanzania,Africa,Marina,1998,No,,,
620,"Kiwengwa, Bravo Club, Unguja",,Arcipelago di Zanzibar,,Oceano Indiano,Tanzania,Africa,Marina,1999,No,,,
621,Oasi di Huacachina,Ica,,,,Perù,America Sud,Desertica,2002,No,,,
622,Isola del Coco,,Coco,,Oceano Pacifico,Costa Rica,America Centrale,Marina,1999,No,,,
623,St. Lucia,,,,Oceano Indiano,,Sudafrica,Marina,2003,No,,,
624,Lungo mare Villa Comunale,Napoli,,Campania,Mare Tirreno,Italy,Europe,Marina,2014,No,,,
625,Castellamare del Golfo,Trapani,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2003,No,,,
626,Saline di Trapani,Trapani,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2003,No,,,
627,Marsala,Trapani,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2003,No,,,
628,Porto Venere,La Spezia,,Liguria,Mar Ligure,Italy,Europe,Marina,2005,No,,,
629,Lerici,La Spezia,,Liguria,Mar Ligure,Italy,Europe,Marina,2004,No,,,
630,"Isola Grand Cayman, Seven Miles beach",,Isole Cayman,,Mar dei Caraibi,,America del Nord,Marina,2000,No,,,
631,Castiglione della Pescaia,Grosseto,,Toscana,Mar Tirreno,Italy,Europe,Marina,2004,No,,,
632,Campese,Grosseto,Isola del Giglio,Toscana,Mar Tirreno,Italy,Europe,Marina,1999,No,,,
633,"Diamante, loc. Cirella",Cosenza,,Calabria,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
634,Sibari,Cosenza,,Calabria,Mar  Ionio,Italy,Europe,Marina,2001,No,,,
635,Copanello,Catanzaro,,Calabria,Mar Ionio,Italy,Europe,Marina,1994,No,,,
636,Paralimni,Protara,,,Mare Mediterraneo,Cipro,Europe,Marina,2004,No,,,
637,"Loc. Fratte, isola di Capo Rizzuto",Crotone ,,Calabria,Mar Ionio,Italy,Europe,Marina,2001,No,,,
638,Lago di Garda  (Sirmione),Brescia,,Lombardia,,Italy,Europe,Lacustre,2017,No,,,
639,Marina Grande ,Napoli ,Capri,Campania,Mar Tirreno,Italy,Europe,Marina,,No,,,
640,Marina Grande (Sorrento),Napoli ,,Campania,Mar Tirreno,Italy,Europe,Marina,2016,Si,,,
641,Marina Piccola (Sorrento),Napoli ,,Campania,Mar Tirreno,Italy,Europe,Marina,2016,No,,,
642,Parco Lambioi,Belluno,,Veneto,Fiume Piave,Italy,Europe,Fluviale,2017,No,,,
643,Da Nang,,,,Mar Cinese Meridionale,Vietnam,Asia,Marina,2017,Si,,,
644,Mandal,,,,Mare del Nord,Norvegia,Europe,Marina,2018,si poca,,,
645,Vikhog Malmo,,,,Mare del Nord,Svezia,Europe,Marina,2018,Si poca,,"68.2762, 14.30207",
646,Skibotn,,,,Mar di Norvegia,Norvegia,Europe,Marina,2018,No,,,
647,Andalsnes,,,,Fiume Rauma,Norvegia,Europe,Fluviale,2018,No,,,
648,Ramberg,,Flakstadoya (Arcipelago Lofoten),,Mar di Norvegia,Norvegia,Europe,Marina,2018,Si,,13.245.794,
649,Preikestolen campig,Jorpeland,,,Mare del Nord,Norvegia,Europe,Marina,2018,No,,"58.997948, 6.039861",
650,,,Hinnøya ,,Mar di Norvegia,Norvegia,Europe,Marina,2018,No,,"68.562762, 16.433278",
651,Porsangerfjorden,,,,Mar di Norvegia,Norvegia,Europe,Marina,2018,No,,"68.562762, 16.433278",
652,Kafjord,,,,Mar di Norvegia,Norvegia,Europe,Marina,2018,No,,"55.73304, 12.95827",
653,Cala Mesquida,,Baleari,,Mare Mediterraneo ,Spain,Europe,Marina,2018,No,,,
654,Playa Formentor,,Maiorca,,Mare Mediterraneo ,Spain,Europe,Marina,2018,Si ,,,
655,Artic Circle Center 66°33' N,,,,,Norvegia,Europe,,2018,Si,,"68.098482, 13.245791",
656,Skagsanden beach,,Flakstadoya (Arcipelago Lofoten),,Mar di Norvegia,Norvegia,Europe,Marina,2018,Si,,"66.550482, 15.319221",
657,,,Flakstadoya (Arcipelago Lofoten),,Mar di Norvegia,Norvegia,Europe,Marina,2018,Si,,"68.103347, 13.284823",
658,Rystad,,Austvagoy (Arcipelago Lofoten),,Mar di Norvegia,Norvegia,Europe,Marina,2018,Si,Da questa spiaggia si può vedere sia il sole di mezzanotte che l'aurora boreale!!,,
659,Klubbensborg,Stoccolma,,,Mar Baltico,Svezia,Europe,Marina,2018,No,,"70.870160, 25.820488",
660,Cape Cross 1,,,,Oceano Atlantico,Namibia,Africa,Marina,2004,No,,,
661,Lido di Metaponto,Matera ,,Basilicata,Mar Ionio,Italy,Europe,Marina,2018,No,,40.35732  16.832620,
662,Cabo San Luca,,,Punta estrema della Bassa California,Oceano Pacifico,Messico,America Centrale,Marina,1998,Sì,,,
663,Las Galeras,,,,Oceano Atlantico,Repubblica Dominicana,America Centrale,Marina,1994,No,,,
664,Sosua,,,,Oceano Atlantico,Repubblica Dominicana,America Centrale,Marina,1994,No,,,
665,Manaus,,,,Rio Negro,Brasile,America Sud,Fluviale,2002,No,,,
666,Copacabana,Rio de Janeiro,,,Oceano Atlantico,Brasile,America Sud,Marina,2002,Sì,,,
667,Lago Balaton,,,,,Ungheria,Europe,Lacustre,1994,No,,,
668,Tel Aviv,,,,Mar Mediterraneo,Israele,Asia,Marina,1986,No,,,
669,Sidone,,,,Mar Mediterraneo,Libano,Asia,Marina,2018,No,,,
670,Tiro,Beirut,,,Mar Mediterraneo,Libano,Asia,Marina,1995,No,,,
671,Playa del Carmen,Yucatan,,,Mar dei Caraibi,Messico,America Centrale,Marina,1998,No,,,
672,Loreto,,,,Mare di Cortezo Golfo di California,Messico,America Centrale,Marina,1998,No,,,
673,Playa Dorada,,,,Oceano Atlantico,Repubblica Dominicana,America Centrale,Marina,1994,No,,,
674,Punta Cana,,,,Oceano Atlantico,Repubblica Dominicana,America Centrale,Marina,1995,No,,,
675,Playa Coson,Las Terrenas,,,Oceano Atlantico,Repubblica Dominicana,America Centrale,Marina,1999,No,,,
676,"As-Sab’atayn, Deserto di Ramlat",,,,,Yemen,Asia,Desertica,2001,No,,,
677,"Al- Khali, Deserto di Ar-ruba",,,,,Yemen,Asia,Desertica,2001,No,,,
678,Tulum,Yucatan,,Quintana Roo,Mar dei Caraibi,Messico,America Centrale,Marina,1998,No,,,
679,Al-Khokha,,,,Mar Rosso,Yemen,Asia,Marina,2001,No,,,
680,Navagio Bay,,Isola di Zante o Zacinto,,Mar Mediterraneo,Grecia,Europe,Marina,1999,No,,,
681,Spiaggia di Vai,,Creta,,Mar Mediterraneo,Grecia,Europe,Marina,2000,No,,,
682,,,"Isola di Itaca, isole Ionie",,Mar Ionio,Grecia,Europe,Marina,1998,No,,,
683,,,"Isola di Paros, Cicladi",, Mar Egeo,Grecia,Europe,Marina,1996,No,,,
684,Pirgaki,,"Naxos, Cicladi",,Mar Egeo,Grecia,Europe,Marina,1996,No,,,
685,Spiaggia di Preveli,,Creta,,Mar Mediterraneo,Grecia,Europe,Marina,2000,No,,,
686,,,Isola di Kos o Coo,Dodecaneso,Mar Mediterraneo,Grecia,Europe,Marina,1999,No,,,
687,Malia,,Isola di Creta,,Mar Mediterraneo,Grecia,Europe,Marina,2000,No,,,
688,Spiaggia di Ornos,,"Mikonos, Cicladi",,Mar Egeo,Grecia,Europe,Marina,1996,No,,,
689,Anavesos o Anavyssos,,,,Mar Mediterraneo,Grecia,Europe,Marina,,No,,,
690,Puerto Santa Maria,Cadice,,,Oceano Atlantico,Spagna,Europe,Marina,1991,No,,,
691,Puerto Plata,Santo Domingo,,,Mar dei caraibi,Repubblica Dominicana,America centrale,Marina,2003,No,,,
692,Isola di Spargi 2,Olbia Tempio,Arcipelago della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,1996,No,,,
693,Rodi Garganico,Foggia,,Puglia ,Mar Adriatico,Italy,Europe,Marina,2004,No,,,
694,"Liscia Ruja, Arzachena",Olbia Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
695,Riposto loc. S. Anna,Catania,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,1999,No,,,
696,Isola Santa Maria,Olbia Tempio,Arcipelago della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
697,Porto Cervo,Olbia Tempio,,Sardegna,Mar Tirreno,Italy,Europe,Marina,1996,No,,,
698,Isola di Spargi 3,Olbia Tempio,Arcipelago della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
699,,Olbia Tempio,Isola dei Gabbiani,Sardegna,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
700,Mar Grande di Taranto,Taranto,,Puglia,Mar Ionio,Italy,Europe,Marina,1991,No,,,
701,Otranto,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2004,No,,,
702,Cala Ginepro,Nuoro,,Sardegna,Mar Tirreno,Italy,Europe,Marina,1994,No,,,
703,Torremolinos,,,,Mare di Alboran (Mar Mediterraneo),Spain,Europe,Marina,,No,,,
704,Sabbione conchiglifero,Venezia,Mazzorbo,Veneto,Laguna di Venezia,Italy,Europe,Lagunare,,No,,,
705,Salvador de Bahia,,,,Oceano Atlantico,Brasile,America del Sud,Marina,,No,,,
706,Sulina,,,,Delta del Danubio,Romania,Europe,Fluviale,,No,,,
707,Dune di Merzouga,,,,Deserto del Sahara,Marocco,Africa,Desertica,1999,No,,,
708,"Palombaggia, Porto Vecchio",,,Corsica,Mar Tirreno,Francia,Europe,Marina,2009,No,,,
709,Sa Rocca Tunda,Oristano,,Sardegna,Mar di Sardegna,Italy,Europe,Marina,,No,,,
710,Ladakh,,,,Fiume Indo,India,Asia,Fluviale,,No,,,
711,Kiwengwa,,Zanzibar,,Oceano Indiano,Tanzania,Africa,Marina,2016,No,,,
712,Santa Severa,Roma,,Lazio,Mar Tirreno,Italy,Europe,Marina,,Si poca,,,
713,"Paso de los Alemanes, Baracoa",Guantanamo,,,Oceano Atlantico,Cuba,America Centrale,Marina,,No,Vulcanica,,
714,"Maria la Gorda, Bahìa De Corriente",Pinar Del Rio,,,Mar dei Caraibi,Cuba,America Centrale,Marina,,No,Corallina,,
715,"Playa Ancon, Trinidad",Sancti Spiritus,,,Mar dei Caraibi,Cuba,America Centrale,Marina,,No,Corallina,,
716,Playa Las Salinas,Villa Clara,Cayo Las Brujas,,Oceano Atlantico,Cuba,America Centrale,Marina,,Sì,"Corallina, bella.",,
717,Abu Simbel (Tempio di Ramses),Assuan,,,,Egitto,Africa,Desertica,2008,No,,,
718,Golfo di Kissamos,,Isola di Creta,,Mar Mediterraneo,Grecia,Europe,Marina,1992,No,,,
719,Kalavarda beach,,Rodi ,,Mar Mediterraneo,Grecia,Europe,Marina,2003,No,,,
720,Kolimbya,,Rodi ,,Mare Mediterraneo,Grecia,Europe,Marina,2001,No,,,
721,"Kastro, Skiathos (Sciato)",,Sporadi,,Mar Egeo,Grecia,Europe,Marina,2005,No,,,
722,Lindo mare 1,,Rodi ,,Mar Mediterraneo,Grecia,Europe,Marina,2003,No,,,
723,Lindo 2,,Rodi ,,Mar Mediterraneo,Grecia,Europe,Marina,1997,No,,,
724,Oslo,,,,Mare del Nord,Norvegia,Europe,Marina,2002,,,,
725,,,Flakstadoya (Arcipelago Lofoten),,Mar di Norvegia,Norvegia,Europe,Marina,2002,No,,,
726,Zlatni Rat (Corno d'Oro),,Brac,,Mar Adriatico,Croazia,Europe,Marina,2003,No,,,
727,Trstenica (Orebic),,,Penisola di Peljesac,Mar Adriatico,Croazia,Europe,Marina,2013,No,,,
728,Cascais,Lisbona,,,Oceano Atlantico,Portogallo,Europe,Marina,,No,,,
729,Snekkersten,,,Stretto di Ores,Mar Baltico,Danimarca,Europe,Marina,1985,No,,,
730,El Cabezo,Tenerife,Isole Canarie,,Oceano Atlantico,Spain,Europe,Marina,1999,No,,,
731,Ajuy,Las Palmas,Fuerteventura Isole Canarie,,Oceano Atlantico,Spain,Europe,Marina,2003,No,,,
732,Stoccolma,,,,Mar Baltico,Svezia,Europe,Marina,1997,No,,,
733,Stave,,Isola di Andoya (Arcipelago delle Vesteralen),,Mar di Norvegia,Norvegia,Europe,Marina,2002,No,,,
734,Oasi di Zaafrane,,,,,Tunisia,Africa,Desertica,2002,No,,,
735,Chot el Jerid 1,,,,Lago salato sale,Tunisia,Africa,Lacustre,2002,No,,,
736,Chot el Jerid 2,,,,Lago salato sabbia,Tunisia,Africa,Lacustre,2005,No,,,
737,Djerba 1,,Isola di Djerba,,Mar Mediterraneo,Tunisia,Africa,Marina,2002,No,,,
738,Marina di Gioiosa Ionica,Reggio Calabria,,Calabria,Mar Ionio,Italy,Europe,Marina,2004,No,,,
739,Amalfi,Salerno,,Campania,Mar Tirreno,Italy,Europe,Marina,2000,No,,,
740,Isola di Caprera 1,Olbia Tempio,Arcipelago della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
741,"Acquacalda, Lipari",Messina,Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,1993,No,,,
742,Barcellona,,,,Mar Mediterraneo,Spagin,Europe,Marina,2001,Si,,,
743,Isola di Caprera 2,Sassari,Arcipelago della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,2001,No,,,
744,"Pietra Liscia, Lipari",Messina,Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,1993,No,,,
745,Pineto,Teramo,,Abruzzo,Mar Adriatico,Italy,Europe,Marina,1993,No,,,
746,Anzio,Roma ,,Lazio,Mar Tirreno,Italy,Europe,Marina,2000,No,,,
747,Nizza,Costa azzurra,,,Mar Mediterraneo,Francia,Europe,Marina ,2000,No,,,
748,La Croisette,Cannes,,,Mar Mediterraneo,Francia,Europe,Marina,2002,No,,,
749,Saintes Maries da la Mer,,,Camargue,Mare delle Baleari Golfo di Lione,Francia,Europe,Marina,1997,No,,,
750,Sète,,,Occitania,Mar Mediterraneo,Francia,Europe,Marina,1997,No,,,
751,Reykjavik,,,,Oceano Atlantico,Islanda,Europe,Marina,2004,No,,,
752,Grande Erg Occidentale,,,,,Algeria,Africa,Desertica,1986,No,,,
753,Deserto di Kizilkum,A sud di Samarcanda,,,Deserto di Kizilkum,Uzbekistan,Asia,Desertica,2001,No,,,
754,Al Mukalla,,,,Oceano Indiano,Yemen,Asia,Marina,2001,No,,,
755,Cascata di Godafoss,,,,Cascata di Godafoss,Islanda,Europe,Fluviale,2000,No,,,
756,Sozopol,,,,Mar Nero,Bulgaria,Europe,Marina,2003,No,,,
757,Lago di Um el Ma,,,,Deserto del Sahara,Libia,Africa,Desertica,1999,No,,,
758,,,Perenthian,,Mar Cinese Meridionale,Malesia,Asia,Marina,1999,No,,,
759,Deserto della Giudea,,,,Deserto della Giudea,Israele,Asia,Desertica,1995,No,,,
760,Halaveli,,,,Oceano Indiano,Repubblica delle Maldive,Asia,Marina,1996,No,,,
761,Pali,,Nisiros,Dodecaneso,Mar Egeo,Grecia,Europe,Marina,2018,No,,,
762,Novigrad,,,,Mar Adriatico,Croazia,Europe,Marina,2003,,,,
763,Koh Tachai,,Tachai,,Mare delle Andamane,Thailandia,Asia,Marina,2014,No,Una consistenza incredibile!,,
764,Khao Lak,Phang Nga,,,Mare delle Andamane,Thailandia,Asia,Marina,2014,No,,,
765,Cala Guitgia,,Lampedusa,,Mar Mediterraneo,Italy,Europe,Marina,2003,No,,,
766,Hurgada,,,,Mar Rosso,Egitto,Africa,Marina,2018,No,,,
767,Lignano Pineta,Udine,,Friuli Venezia Giulia,Mar Adriatico,Italy,Europe,Marina,,No,,,
768,Porto Frailis,OG (Ogliastra) Nuoro,,Sardegna,Mar Tirreno,Italy,Europe,Marina,1994,No,,,
