"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
92,Torre dell'Orso X,Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si tanta,,,
93,Alimini  (verso mare),Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
94,Alimini (verso strada),Lecce,,Puglia,Mar Adriatico,Italy,Europe,Marina,2008,Si,,,
95,Cala Pregonda,,Minorca,,Mar Mediterraneo,Spain,Europe,Marina,2008,,,,
96,Cala Es Talaier,,Minorca,,Mar Mediterraneo,Spain,Europe,Marina,2008,Si,,,
97, Punta della Suina Gallipoli,Lecce,,Puglia,Mar Ionio,Italy,Europe,Marina,2008,Si tanta,,,
98,Sorrento,Napoli,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si tanta,,,
99,Mergellina X,Napoli,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si,,,
100,Acciaroli,Napoli,,Campania,Mar Tirreno,Italy,Europe,Marina,2008,Si poca,,,
101,Passo Valparola,Belluno,,Veneto,,Italy,Europe,Montagna,2008,No,,,
102,Passo Falzarego,Belluno,,Veneto,,Italy,Europe,Montagna,2008,No,,,
103,Monte Lagazuoi,Belluno,,Veneto,,Italy,Europe,Montagna,2008,No,,,
104,Deserto Acacus (sabbia chiara),,,,,Libia,Africa,Desertica,2008,No,,,
105,Deserto Acacus (sabbia scura) X,,,,,Libia,Africa,Desertica,2008,No,,,
106,Parco Naturale Leba n° 1,,,,Mar Baltico,Polonia,Europe,Marina,2008,No,,,
107,Parco Naturale Leba n° 2,,,,Mar Baltico,Polonia,Europe,Marina,2008,No,,,
108,Monument Valley ,,,,,Arizona,Usa,Desertica,2008,No,,,
109,Deserto  Tunisiaco,,,,,Tunisia,Africa,Desertica,2008,No,,,
110,Isola di Budelli,Olbia - Tempio,Arcipelago della Maddalena,Sardegna,Mar Tirreno,Italy,Europe,Marina,1990,No,,,
111,Arches National Park,,,,,Utah,USA,Desertica,2008,No,,,
112,San Quintin,,,Baja California,Oceano Pacifico,Mexico,Central America,Marina,2008,No,,,
113,Point Fermin,,,San Pedro,Oceano Pacifico,California,USA,Marina,2008,No,,,
114,White Sands X,,,,,New Mexico,USA,Desertica,2008,No,,,
115,Green Sand Beach,,Big Island Hawaii,,Oceano Pacifico,,USA,Marina,2008,No,,,
116,Fort Pierce X,,,,Oceano Atlantico,Florida,USA,Marina,2008,No,,,
117,Vanua Levu,,Isole Figi o Fiji,,Oceano Pacifico,,Oceania,Marina,2008,No,,,
118,Indiana Dunes State Park,Chicago,,,Lago Michigan,Illinois,Usa,Lacustre,2008,No,,,
119,Van Duzen River,Humbolt County,,,Oceano Pacifico,California,USA,Marina,2008,No,,,
120,Knollwood Beach,Old Saybrook,,,Oceano Atlantico,Connecticut,Usa,Marina ,2008,No,,,
121,Kelso Dunes X,san Bernardino County,,,Oceano Pacifico,California,USA,Marina,2008,No,,,
122,Antelope Island,Great Salt lake,,,Lago Salato,Utah,USA,Lacustre,2008,No,,,
123,Sundance Anthill,Sheep Mountain,,,,Wyoming,Usa,Desertica,2008,No,,,
